example_id                                                              | status  | run_time        |
----------------------------------------------------------------------- | ------- | --------------- |
./spec/jobs/nesting_job_integration_spec.rb[1:1:1]                      | failed  | 0.10349 seconds |
./spec/jobs/nesting_job_integration_spec.rb[1:1:2]                      | failed  | 0.10407 seconds |
./spec/jobs/nesting_job_spec.rb[1:1:1]                                  | failed  | 0.10344 seconds |
./spec/jobs/nesting_renest_spec.rb[1:1]                                 | failed  | 0.10822 seconds |
./spec/models/nesting_run_spec.rb[1:1:1]                                | failed  | 0.10594 seconds |
./spec/models/nesting_run_spec.rb[1:2:1]                                | failed  | 0.1044 seconds  |
./spec/models/project_layer_spec.rb[1:1:1]                              | failed  | 0.10505 seconds |
./spec/models/project_layer_spec.rb[1:2:1]                              | failed  | 0.10449 seconds |
./spec/models/project_pin_spec.rb[1:1:1]                                | failed  | 0.10347 seconds |
./spec/models/project_pin_spec.rb[1:1:2]                                | failed  | 0.10411 seconds |
./spec/models/project_pin_spec.rb[1:1:3]                                | failed  | 0.10317 seconds |
./spec/models/project_spec.rb[1:1:1]                                    | failed  | 0.1046 seconds  |
./spec/models/project_spec.rb[1:1:2]                                    | failed  | 0.10466 seconds |
./spec/models/project_spec.rb[1:1:3]                                    | failed  | 0.10404 seconds |
./spec/models/project_spec.rb[1:1:4]                                    | failed  | 0.10492 seconds |
./spec/models/project_spec.rb[1:1:5]                                    | failed  | 0.10298 seconds |
./spec/models/project_spec.rb[1:1:6]                                    | failed  | 0.10507 seconds |
./spec/models/project_spec.rb[1:2:1]                                    | failed  | 0.10449 seconds |
./spec/models/sheet_stock_spec.rb[1:1:1]                                | passed  | 0.00185 seconds |
./spec/models/sheet_stock_spec.rb[1:2:1]                                | passed  | 0.00142 seconds |
./spec/models/sheet_stock_spec.rb[1:2:2]                                | passed  | 0.00137 seconds |
./spec/models/sheet_stock_spec.rb[1:3:1]                                | passed  | 0.33888 seconds |
./spec/requests/ephemeral_workspace_spec.rb[1:1]                        | passed  | 0.01517 seconds |
./spec/requests/ephemeral_workspace_spec.rb[1:2]                        | passed  | 1.3 seconds     |
./spec/requests/ephemeral_workspace_spec.rb[1:3]                        | passed  | 0.03051 seconds |
./spec/requests/home_spec.rb[1:1:1]                                     | passed  | 0.01615 seconds |
./spec/requests/home_spec.rb[1:1:2]                                     | passed  | 0.0112 seconds  |
./spec/requests/i18n_views_spec.rb[1:1:1]                               | passed  | 0.00873 seconds |
./spec/requests/i18n_views_spec.rb[1:1:2]                               | passed  | 0.0092 seconds  |
./spec/requests/i18n_views_spec.rb[1:2:1]                               | passed  | 0.04298 seconds |
./spec/requests/i18n_views_spec.rb[1:3:1]                               | passed  | 0.22603 seconds |
./spec/requests/locale_spec.rb[1:1:1]                                   | passed  | 0.19506 seconds |
./spec/requests/locale_spec.rb[1:1:2]                                   | passed  | 0.0046 seconds  |
./spec/requests/locale_spec.rb[1:1:3]                                   | passed  | 0.0039 seconds  |
./spec/requests/locale_spec.rb[1:2:1]                                   | passed  | 0.01516 seconds |
./spec/requests/locale_spec.rb[1:2:2]                                   | passed  | 0.00183 seconds |
./spec/requests/nesting_renest_spec.rb[1:1:1]                           | passed  | 0.85468 seconds |
./spec/requests/nesting_renest_spec.rb[1:2:1]                           | passed  | 0.53768 seconds |
./spec/requests/nesting_start_workspace_spec.rb[1:1]                    | passed  | 1.4 seconds     |
./spec/requests/project_access_gate_spec.rb[1:1:1]                      | passed  | 0.49491 seconds |
./spec/requests/project_access_gate_spec.rb[1:2:1]                      | passed  | 0.21949 seconds |
./spec/requests/project_access_gate_spec.rb[1:2:2]                      | passed  | 0.4657 seconds  |
./spec/requests/project_access_gate_spec.rb[1:2:3]                      | passed  | 0.45366 seconds |
./spec/requests/project_access_gate_spec.rb[1:2:4]                      | passed  | 0.46797 seconds |
./spec/requests/project_dxf_destroy_spec.rb[1:1]                        | passed  | 0.47649 seconds |
./spec/requests/project_dxf_destroy_spec.rb[1:2]                        | passed  | 0.51212 seconds |
./spec/requests/project_dxf_upload_spec.rb[1:1]                         | passed  | 0.7559 seconds  |
./spec/requests/project_dxf_upload_spec.rb[1:2]                         | passed  | 0.44244 seconds |
./spec/requests/project_layers_spec.rb[1:1:1]                           | passed  | 1.08 seconds    |
./spec/requests/project_layers_spec.rb[1:2:1]                           | passed  | 1.64 seconds    |
./spec/requests/project_layers_spec.rb[1:3:1]                           | passed  | 1.22 seconds    |
./spec/requests/project_nesting_parameters_spec.rb[1:1]                 | passed  | 0.02418 seconds |
./spec/requests/project_nesting_parameters_spec.rb[1:2]                 | passed  | 0.01467 seconds |
./spec/requests/project_nesting_sync_spec.rb[1:1]                       | passed  | 0.47357 seconds |
./spec/requests/project_nesting_sync_spec.rb[1:2]                       | passed  | 1.04 seconds    |
./spec/requests/project_orphan_dxf_download_spec.rb[1:1:1]              | passed  | 0.86458 seconds |
./spec/requests/project_orphan_dxf_download_spec.rb[1:1:2]              | passed  | 0.43592 seconds |
./spec/requests/project_orphan_dxf_download_spec.rb[1:1:3]              | passed  | 0.23862 seconds |
./spec/requests/project_preview_spec.rb[1:1:1]                          | passed  | 0.425 seconds   |
./spec/requests/project_preview_spec.rb[1:1:2]                          | unknown |                 |
./spec/requests/project_readiness_spec.rb[1:1:1]                        | passed  | 1.03 seconds    |
./spec/requests/project_source_preview_spec.rb[1:1:1]                   | passed  | 1.76 seconds    |
./spec/requests/project_source_preview_spec.rb[1:1:2]                   | passed  | 0.92735 seconds |
./spec/requests/projects_crud_spec.rb[1:1:1]                            | passed  | 1.03 seconds    |
./spec/requests/projects_crud_spec.rb[1:1:2]                            | passed  | 0.31253 seconds |
./spec/requests/ui_design_spec.rb[1:1:1]                                | passed  | 0.00617 seconds |
./spec/requests/ui_design_spec.rb[1:2:1]                                | passed  | 0.26912 seconds |
./spec/requests/ui_design_spec.rb[1:2:2]                                | passed  | 0.04358 seconds |
./spec/services/nesting/cli_runner_spec.rb[1:1:1]                       | failed  | 0.10566 seconds |
./spec/services/nesting/job_runner_spec.rb[1:1:1]                       | passed  | 0.22884 seconds |
./spec/services/nesting/job_runner_spec.rb[1:1:2]                       | passed  | 0.24448 seconds |
./spec/services/nesting/job_runner_spec.rb[1:1:3]                       | passed  | 0.46109 seconds |
./spec/services/nesting/job_runner_spec.rb[1:1:4]                       | passed  | 0.25768 seconds |
./spec/services/nesting/job_runner_spec.rb[1:1:5]                       | passed  | 0.29065 seconds |
./spec/services/nesting/orphans_presenter_spec.rb[1:1:1]                | unknown |                 |
./spec/services/nesting/preview_presenter_spec.rb[1:1:1]                | failed  | 0.10756 seconds |
./spec/services/nesting/progress_broadcaster_spec.rb[1:1:1]             | passed  | 0.20876 seconds |
./spec/services/nesting/progress_broadcaster_spec.rb[1:1:2]             | passed  | 0.23626 seconds |
./spec/services/nesting/progress_broadcaster_spec.rb[1:1:3]             | passed  | 0.21315 seconds |
./spec/services/nesting/project_status_sync_spec.rb[1:1]                | unknown |                 |
./spec/services/nesting/project_status_sync_spec.rb[1:2]                | unknown |                 |
./spec/services/nesting/status_mapper_spec.rb[1:1:1]                    | failed  | 0.10482 seconds |
./spec/services/nesting/status_mapper_spec.rb[1:1:2]                    | failed  | 0.10391 seconds |
./spec/services/nesting/status_mapper_spec.rb[1:1:3]                    | failed  | 0.1055 seconds  |
./spec/services/nesting/status_mapper_spec.rb[1:1:4]                    | failed  | 0.10547 seconds |
./spec/services/nesting/status_mapper_spec.rb[1:1:5]                    | failed  | 0.10368 seconds |
./spec/services/nesting/status_mapper_spec.rb[1:2:1]                    | failed  | 0.10402 seconds |
./spec/services/project_access_spec.rb[1:1:1]                           | failed  | 0.10346 seconds |
./spec/services/project_access_spec.rb[1:1:2]                           | failed  | 0.10389 seconds |
./spec/services/project_access_spec.rb[1:1:3]                           | failed  | 0.10389 seconds |
./spec/services/project_access_spec.rb[1:1:4]                           | failed  | 0.10475 seconds |
./spec/services/project_readiness_validator_spec.rb[1:1:1]              | failed  | 0.10764 seconds |
./spec/services/project_readiness_validator_spec.rb[1:1:2]              | failed  | 0.10934 seconds |
./spec/services/project_readiness_validator_spec.rb[1:1:3]              | failed  | 0.10837 seconds |
./spec/services/sheet_stocks/normalize_consumption_order_spec.rb[1:1:1] | passed  | 0.21518 seconds |
./spec/services/sheet_stocks/normalize_consumption_order_spec.rb[1:1:2] | passed  | 0.44115 seconds |
./spec/system/golden_nesting_e2e_spec.rb[1:1]                           | passed  | 2.85 seconds    |
./spec/system/nesting_progress_spec.rb[1:1]                             | passed  | 1.62 seconds    |
./spec/system/projects_spec.rb[1:1]                                     | passed  | 0.55156 seconds |
